{'stateEstimate.x': 0.08618064969778061, 'stateEstimate.y': -0.07702949643135071}
{'stateEstimate.x': 0.08603130280971527, 'stateEstimate.y': -0.07684528082609177}
{'stateEstimate.x': 0.08579910546541214, 'stateEstimate.y': -0.07680273056030273}
{'stateEstimate.x': 0.0856616199016571, 'stateEstimate.y': -0.07657483220100403}
{'stateEstimate.x': 0.08543603122234344, 'stateEstimate.y': -0.07653038203716278}
{'stateEstimate.x': 0.08526284247636795, 'stateEstimate.y': -0.0762137621641159}
{'stateEstimate.x': 0.0850682258605957, 'stateEstimate.y': -0.07615650445222855}
{'stateEstimate.x': 0.08493775874376297, 'stateEstimate.y': -0.07582473009824753}
{'stateEstimate.x': 0.08479785919189453, 'stateEstimate.y': -0.0757497027516365}
{'stateEstimate.x': 0.08462661504745483, 'stateEstimate.y': -0.07534707337617874}
{'stateEstimate.x': 0.08454565703868866, 'stateEstimate.y': -0.0752498060464859}
{'stateEstimate.x': 0.08430808782577515, 'stateEstimate.y': -0.07485279440879822}
{'stateEstimate.x': 0.0842660441994667, 'stateEstimate.y': -0.07473894953727722}
{'stateEstimate.x': 0.0841093361377716, 'stateEstimate.y': -0.074555404484272}
{'stateEstimate.x': 0.0840819776058197, 'stateEstimate.y': -0.07444345951080322}
{'stateEstimate.x': 0.08384578675031662, 'stateEstimate.y': -0.07420574128627777}
{'stateEstimate.x': 0.08380965888500214, 'stateEstimate.y': -0.07409830391407013}
{'stateEstimate.x': 0.0838109478354454, 'stateEstimate.y': -0.0741683840751648}
{'stateEstimate.x': 0.10047940909862518, 'stateEstimate.y': -0.06308822333812714}
{'stateEstimate.x': 0.07811728119850159, 'stateEstimate.y': -0.0668754056096077}
{'stateEstimate.x': 0.10255073010921478, 'stateEstimate.y': -0.06296461820602417}
{'stateEstimate.x': 0.07681261748075485, 'stateEstimate.y': -0.0658029168844223}
{'stateEstimate.x': 0.07713525742292404, 'stateEstimate.y': -0.06555372476577759}
{'stateEstimate.x': 0.07746361941099167, 'stateEstimate.y': -0.06530427932739258}
{'stateEstimate.x': 0.07779566198587418, 'stateEstimate.y': -0.06505247950553894}
{'stateEstimate.x': 0.0781274288892746, 'stateEstimate.y': -0.06479686498641968}
{'stateEstimate.x': 0.07845401018857956, 'stateEstimate.y': -0.06453754007816315}
